variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,-0.12946254223021525,0.025693829799049068,-5.038662715630142,1.985203830125605e-6,ln_lshare_mean_0215,minmax_year,FALSE,30806,1941522,0.3753452032362502,0.33575892495432524,le5_panelsize10-fixed_all,TRUE,TRUE
originTRUE,-0.05986459749171269,0.024978069739168392,-2.396686297894282,0.01832938583254872,ln_lshare_mean_0215,minmax_year,FALSE,30806,1941522,0.3753452032362502,0.33575892495432524,le5_panelsize10-fixed_all,TRUE,TRUE
ln_apl_mean_0215,-0.4167015049514641,0.011241092020597088,-37.06948614849346,9.296772136701114e-62,ln_lshare_mean_0215,minmax_year,FALSE,30806,1941522,0.3753452032362502,0.33575892495432524,le5_panelsize10-fixed_all,TRUE,TRUE
ln_emp_mean_0215,0.11578390095870333,0.005133949806801537,22.552596989809096,7.651574993882948e-42,ln_lshare_mean_0215,minmax_year,FALSE,30806,1941522,0.3753452032362502,0.33575892495432524,le5_panelsize10-fixed_all,TRUE,TRUE
destinationTRUE,2.223610229953941,0.15931554488807456,13.957270971367638,1.4081400080341701e-25,ln_emp_mean_0215,minmax_year,FALSE,30807,1943052,0.1285625865467368,0.03617215294635556,le5_panelsize10-fixed_all,FALSE,FALSE
originTRUE,2.6670048917928106,0.0692553045263881,38.509756184475535,2.3042261180841933e-63,ln_emp_mean_0215,minmax_year,FALSE,30807,1943052,0.1285625865467368,0.03617215294635556,le5_panelsize10-fixed_all,FALSE,FALSE
destinationTRUE,1.989728243603524,0.14526873508101357,13.696878702040676,5.039032747678661e-25,ln_emp_mean_0215,minmax_year,FALSE,30808,1943052,0.19783567033632388,0.031180844041955424,le5_panelsize10-fixed_all,FALSE,TRUE
originTRUE,2.3774493922599342,0.05592400164010338,42.51214724511154,1.4492094990248552e-67,ln_emp_mean_0215,minmax_year,FALSE,30808,1943052,0.19783567033632388,0.031180844041955424,le5_panelsize10-fixed_all,FALSE,TRUE
destinationTRUE,4.207223126820161,0.12470216679179422,33.73817179812636,7.899468595445977e-58,ln_emp_mean_0215,minmax_year,TRUE,30809,1943052,0.5164443482305004,0.4253265117587903,le5_panelsize10-fixed_all,FALSE,FALSE
originTRUE,2.2206571805974553,0.20335563401300524,10.920067159070877,5.9406898996543e-19,ln_emp_mean_0215,minmax_year,TRUE,30809,1943052,0.5164443482305004,0.4253265117587903,le5_panelsize10-fixed_all,FALSE,FALSE
