variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
originTRUE,-0.045599820090435346,0.012744071751502061,-3.578120162816942,0.004332916884709901,tfp_cd_ma3,sir+an,TRUE,30454,1914708,0.2284910665942388,0.0034844858833545933,le5_panelsize0-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.010851387574948343,0.004818408665730148,-2.2520687487813986,0.040894049663381504,tfp_cd_ma3,sir+an,FALSE,30455,2523712,0.06545245910703135,0.06386918020442178,le5_panelsize0-moving_wpanel,TRUE,FALSE
originTRUE,-0.0413287728548289,0.003252668013654275,-12.70611469763779,4.474680145999259e-9,tfp_cd_ma3,sir+an,FALSE,30455,2523712,0.06545245910703135,0.06386918020442178,le5_panelsize0-moving_wpanel,TRUE,FALSE
ln_apl_ma3,0.12312359569023062,0.004283366293338101,28.744587144397194,7.522270142054338e-14,tfp_cd_ma3,sir+an,FALSE,30455,2523712,0.06545245910703135,0.06386918020442178,le5_panelsize0-moving_wpanel,TRUE,FALSE
ln_emp_ma3,0.015375390333492792,0.0019264243925707265,7.981310033649971,1.4072410802965443e-6,tfp_cd_ma3,sir+an,FALSE,30455,2523712,0.06545245910703135,0.06386918020442178,le5_panelsize0-moving_wpanel,TRUE,FALSE
destinationTRUE,-0.009326847544257838,0.004686634990584716,-1.9900947189177618,0.07201511607401434,tfp_cd_ma3,sir+an,FALSE,30456,1914708,0.21601882377244008,0.09422366099520141,le5_panelsize0-moving_wpanel,TRUE,TRUE
originTRUE,-0.042990243442124945,0.003968925110299626,-10.83170940428238,3.308960952555957e-7,tfp_cd_ma3,sir+an,FALSE,30456,1914708,0.21601882377244008,0.09422366099520141,le5_panelsize0-moving_wpanel,TRUE,TRUE
ln_apl_ma3,0.16101911615012462,0.0037986117040979,42.388938036604,1.533950529217495e-13,tfp_cd_ma3,sir+an,FALSE,30456,1914708,0.21601882377244008,0.09422366099520141,le5_panelsize0-moving_wpanel,TRUE,TRUE
ln_emp_ma3,0.012170644662753822,0.0023925436914117035,5.086905917932316,3.511645607829535e-4,tfp_cd_ma3,sir+an,FALSE,30456,1914708,0.21601882377244008,0.09422366099520141,le5_panelsize0-moving_wpanel,TRUE,TRUE
destinationTRUE,0.008319840354605874,0.0029712555115156453,2.800109355240843,0.014177270619918136,tfp_tl_ma3,sir+an,FALSE,30457,2523712,0.008221046760295447,5.060934907098469e-4,le5_panelsize0-moving_wpanel,FALSE,FALSE
originTRUE,-0.01917896843105609,0.0028637259402880654,-6.697208053759103,1.015113305937116e-5,tfp_tl_ma3,sir+an,FALSE,30457,2523712,0.008221046760295447,5.060934907098469e-4,le5_panelsize0-moving_wpanel,FALSE,FALSE
destinationTRUE,0.002381338501088336,0.0029601853299213382,0.8044558822104614,0.4381747829643824,tfp_tl_ma3,sir+an,FALSE,30458,1914708,0.1425243938588422,0.0011989552940713244,le5_panelsize0-moving_wpanel,FALSE,TRUE
originTRUE,-0.02866232464240022,0.00269077286949165,-10.652078801365054,3.918823085644734e-7,tfp_tl_ma3,sir+an,FALSE,30458,1914708,0.1425243938588422,0.0011989552940713244,le5_panelsize0-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.027564797819845412,0.019979277774884677,-1.3796693819681638,0.1893270200271638,tfp_tl_ma3,sir+an,TRUE,30459,2523712,0.004560099743366575,0.0037923388350520337,le5_panelsize0-moving_wpanel,FALSE,FALSE
originTRUE,-0.002613950754628525,0.015202951236070471,-0.17193706103764078,0.865947629507396,tfp_tl_ma3,sir+an,TRUE,30459,2523712,0.004560099743366575,0.0037923388350520337,le5_panelsize0-moving_wpanel,FALSE,FALSE
destinationTRUE,-0.025989788847350887,0.011031105405294245,-2.356045735441654,0.03807878406413987,tfp_tl_ma3,sir+an,TRUE,30460,1914708,0.22618332478433167,0.017880338030093812,le5_panelsize0-moving_wpanel,FALSE,TRUE
originTRUE,-0.04389692051419815,0.009052580939474416,-4.849105554282596,5.114924875277953e-4,tfp_tl_ma3,sir+an,TRUE,30460,1914708,0.22618332478433167,0.017880338030093812,le5_panelsize0-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.012160389575498157,0.002726872220744372,-4.45946439403701,5.395107506543833e-4,tfp_tl_ma3,sir+an,FALSE,30461,2523712,0.17357397396070195,0.16714528523844652,le5_panelsize0-moving_wpanel,TRUE,FALSE
originTRUE,-0.02592194499264764,0.0017469258161943381,-14.838606626764701,5.872112155980089e-10,tfp_tl_ma3,sir+an,FALSE,30461,2523712,0.17357397396070195,0.16714528523844652,le5_panelsize0-moving_wpanel,TRUE,FALSE
ln_apl_ma3,0.11834109361365723,0.0020018751745415593,59.11512122166059,3.3794669563445857e-18,tfp_tl_ma3,sir+an,FALSE,30461,2523712,0.17357397396070195,0.16714528523844652,le5_panelsize0-moving_wpanel,TRUE,FALSE
ln_emp_ma3,0.005517776604751577,0.001435743269656905,3.84314990107538,0.0017915819165360484,tfp_tl_ma3,sir+an,FALSE,30461,2523712,0.17357397396070195,0.16714528523844652,le5_panelsize0-moving_wpanel,TRUE,FALSE
destinationTRUE,-0.017429864389089268,0.0027964171493161274,-6.232927155861491,6.412066756508462e-5,tfp_tl_ma3,sir+an,FALSE,30462,1914708,0.30175203036053,0.18666980547912138,le5_panelsize0-moving_wpanel,TRUE,TRUE
