coefficient,beta,std_error,tval,pval,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
d_treated_{h=5},0.018033321173497895,0.004212819863056821,4.28058207084433,1.871287251735804e-5,tfp_tl_ma3,80127,97625,6227,33784,7.125504480942624e-4,6.511301700993233e-4,4.2625694940867653e-4,4.160173036152903e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=6},0.04739681217678798,0.01326090377370525,3.5741766161345696,3.5198806305998537e-4,prod_res_ma3,80128,92964,6227,31699,0.0028325395781727547,0.0027789042019586985,1.7719717560049641e-4,1.6644153538847295e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=6},0.03257334162573165,0.006984360502920519,4.663754342593151,3.1241162495985574e-6,tfp_cd_ma3,80129,77233,6227,31699,7.58051681112204e-4,6.933565648756801e-4,4.3952714780171043e-4,4.2658400003148245e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=6},0.021767961677386576,0.005666034061307797,3.8418338897811424,1.224790751484144e-4,tfp_tl_ma3,80130,77233,6227,31699,5.71390887919021e-4,5.066836864796587e-4,4.5825151133183084e-4,4.4530860602032263e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=-4},0.043529073168609406,0.003916770338325818,11.113511747848726,1.2644418316924013e-28,prod_res_ma3,80201,144745,5735,24586,0.047665547644601514,0.0476063290031451,9.614085356125512e-4,9.545059993120164e-4,le5_panelsize10,LE-event def: first
d_treated_{h=-4},0.006412712274626405,0.0019325372161447926,3.3182865618593818,9.072939075252967e-4,tfp_cd_ma3,80202,121163,5735,24586,0.002530211609231614,0.0024561133360108123,8.263892419635432e-5,7.438558039907228e-5,le5_panelsize10,LE-event def: first
d_treated_{h=-4},0.005549627423287772,0.001310315209760928,4.23533771259537,2.2920463375898806e-5,tfp_tl_ma3,80203,121163,5735,24586,0.007469682209586215,0.007395950871029955,1.4663851542928708e-4,1.383856998863342e-4,le5_panelsize10,LE-event def: first
d_treated_{h=-3},0.03126242545604603,0.002411667723506885,12.962990361950158,2.599022558355524e-38,prod_res_ma3,80204,167351,5735,26476,0.03709698601813538,0.037039444305814295,0.0011118863245612731,0.0011059171114999877,le5_panelsize10,LE-event def: first
d_treated_{h=-3},0.003287972591622818,0.0012124885573683254,2.711755563911693,0.0066979480496336934,tfp_cd_ma3,80205,140260,5735,26476,0.002446100074667501,0.002374972729736302,5.650119964384359e-5,4.93714268910983e-5,le5_panelsize10,LE-event def: first
d_treated_{h=-3},0.0031705167970248007,7.659764847684077e-4,4.139182938472848,3.498316889821192e-5,tfp_tl_ma3,80206,140260,5735,26476,0.005466491905221971,0.005395579919532656,1.1637951616005893e-4,1.0925017035012807e-4,le5_panelsize10,LE-event def: first
d_treated_{h=-1},-0.032878611073157406,0.0025743741807171643,-12.771496591065928,3.0263687983516564e-37,prod_res_ma3,80207,186068,5735,29350,0.0343406432903377,0.03428355159254881,0.0012259292561720425,0.0012205611193167876,le5_panelsize10,LE-event def: first
d_treated_{h=-1},-0.004295835976109571,0.0011605431371369264,-3.701573718929095,2.1476953360597076e-4,tfp_cd_ma3,80208,154849,5735,29350,0.0022271306748581354,0.0021562464445864515,9.91821340480259e-5,9.272436996143885e-5,le5_panelsize10,LE-event def: first
d_treated_{h=-1},-0.0037349154544105657,8.381018067705342e-4,-4.4563982850751165,8.374395739496772e-6,tfp_tl_ma3,80209,154849,5735,29350,0.004901907032358821,0.004831212824755626,1.5761345638554136e-4,1.5115606967219808e-4,le5_panelsize10,LE-event def: first
d_treated_{h=0},-0.04253423117088139,0.004359184034626755,-9.757383683050511,1.866992289935596e-22,prod_res_ma3,80210,186068,5735,29350,0.038947339175759654,0.038890519834974824,7.816131478396438e-4,7.762426229069863e-4,le5_panelsize10,LE-event def: first
d_treated_{h=0},-0.0032246588409939685,0.002079127252151993,-1.550967521423375,0.12092343228765841,tfp_cd_ma3,80211,153615,5735,29350,0.0019899890232326634,0.0019185183480456836,2.0831685424549384e-5,1.4321531532246468e-5,le5_panelsize10,LE-event def: first
d_treated_{h=0},-0.003135217376256204,0.0015954469436759463,-1.9651028752059856,0.04941452836399972,tfp_tl_ma3,80212,153615,5735,29350,0.005989987864930546,0.005918803642399162,4.294232135237941e-5,3.6432311406819906e-5,le5_panelsize10,LE-event def: first
d_treated_{h=1},-0.017669523892322177,0.0053396009168106325,-3.3091469133382843,9.370980269620485e-4,prod_res_ma3,80213,158177,5735,27968,0.0426492628430345,0.042588734617173274,9.502613531064963e-5,8.870426478302385e-5,le5_panelsize10,LE-event def: first
d_treated_{h=1},0.003454631324292938,0.00285105286440985,1.2117037068718208,0.22563931333313164,tfp_cd_ma3,80214,130479,5735,27968,0.0020398242462276173,0.0019633334457437313,1.5375613803048083e-5,7.711016933420467e-6,le5_panelsize10,LE-event def: first
d_treated_{h=1},0.004141451136768798,0.001811471434169932,2.2862359619082424,0.0222502662717128,tfp_tl_ma3,80215,130479,5735,27968,0.006168266162026481,0.006092091794837717,5.083667264649261e-5,4.317234757567068e-5,le5_panelsize10,LE-event def: first
d_treated_{h=2},0.005023543538347976,0.0060781398717078446,0.8264935727674284,0.4085325701643634,prod_res_ma3,80216,132820,5735,26476,0.041487577977379564,0.04142262344234304,7.255952441775904e-6,-2.735464217362704e-7,le5_panelsize10,LE-event def: first
d_treated_{h=2},0.012766012850923998,0.003410107075575597,3.743581233081722,1.8193485233258217e-4,tfp_cd_ma3,80217,109870,5735,26476,0.0018441057255618176,0.001762334352464423,1.7903911751115942e-4,1.699382531302751e-4,le5_panelsize10,LE-event def: first
d_treated_{h=2},0.011221709929982558,0.002128216145733151,5.2728243569060895,1.3576632543376294e-7,tfp_tl_ma3,80218,109870,5735,26476,0.005696140976741204,0.005614685171796641,3.2806337815538544e-4,3.1896387026697504e-4,le5_panelsize10,LE-event def: first
d_treated_{h=3},0.011513381479274115,0.007031974233297821,1.6372900550112832,0.10158457766635516,prod_res_ma3,80219,110499,5735,24586,0.029748313721595143,0.029678062898079616,3.530428958764542e-5,2.6254016298632443e-5,le5_panelsize10,LE-event def: first
d_treated_{h=3},0.01887929929900156,0.004033655989669717,4.680443584517833,2.883532431869259e-6,tfp_cd_ma3,80220,91499,5735,24586,0.0017475590517724848,0.001660270610111203,3.4139856623838227e-4,3.3047214147685633e-4,le5_panelsize10,LE-event def: first
d_treated_{h=3},0.01609261139495783,0.0025783968708337004,6.241324435735308,4.436450189379514e-10,tfp_tl_ma3,80221,91499,5735,24586,0.003979521297889699,0.003892428021798122,6.042249436728486e-4,5.933013916447072e-4,le5_panelsize10,LE-event def: first
