distance,treatment_path,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_treated,n_ind,r2,ar2,wr2,war2_adj,sample,description
2,FALSE,0.6490652333588833,0.4871743152164486,-0.0717668891129239,3281.0704532239583,-2.18730106945452e-5,0.9999825482117607,hhi_zecs1_ma3_dlag4_q4:2,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
3,FALSE,0.6222775795153881,0.48257640437270755,-0.08573385629511782,3937.284877001453,-2.177486744632275e-5,0.9999826265171758,hhi_zecs1_ma3_dlag4_q4:2,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
4,FALSE,0.6026522766458666,0.4889456699246752,-0.10138098244742594,4593.499121360093,-2.2070534851306982e-5,0.99998239061344,hhi_zecs1_ma3_dlag4_q4:2,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
5,FALSE,0.5951809033442681,0.48949499644909067,-0.11939991592271562,5249.713586644493,-2.2744081929816963e-5,0.9999818532113811,hhi_zecs1_ma3_dlag4_q4:2,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
6,FALSE,0.5906362858728359,0.5018577115728262,-0.12858762966624435,5905.927852357122,-2.1772638081740803e-5,0.9999826282959159,hhi_zecs1_ma3_dlag4_q4:2,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
7,FALSE,0.5941673037943556,0.507997332711266,-0.14558118030697273,6562.14225582387,-2.2185008284111812e-5,0.9999822992786833,hhi_zecs1_ma3_dlag4_q4:2,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
8,FALSE,0.5950606813605993,0.510060480677176,-0.15951909151905386,7218.356457498753,-2.209908757738588e-5,0.9999823678321166,hhi_zecs1_ma3_dlag4_q4:2,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
-5,TRUE,0.5288353499983758,0.5054531726044109,-0.0015673356986826948,0.008706844916393543,-0.1800119002615588,0.8571461458213162,hhi_zecs1_ma3_dlag4_q4:3,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
-4,TRUE,0.5218889186179672,0.5087137873467633,0.001304312396104286,0.006948561477237045,0.18770970083190794,0.8511072742545258,hhi_zecs1_ma3_dlag4_q4:3,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
-3,TRUE,0.49656682670766666,0.48834826116574426,-0.0027409547284030517,0.003445237194415583,-0.7955779453576929,0.4262925074936744,hhi_zecs1_ma3_dlag4_q4:3,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
-2,TRUE,0.4931902216139548,0.48394990712935426,0,NA,NA,NA,hhi_zecs1_ma3_dlag4_q4:3,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
-1,TRUE,0.4938707111591105,0.48296472060337636,-5.416753683521857e-4,7.759028192559419e-4,-0.6981226964372027,0.48511346086641394,hhi_zecs1_ma3_dlag4_q4:3,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
0,TRUE,0.515576757732815,0.48296472060337636,0.006069444127861472,0.004875882073969267,1.2447889501397584,0.21323269258977662,hhi_zecs1_ma3_dlag4_q4:3,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
1,TRUE,0.5694612281185506,0.48470147192113805,0.055663354670415326,0.0187165833576416,2.9740125965719653,0.0029449461868033522,hhi_zecs1_ma3_dlag4_q4:3,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
2,TRUE,0.6074172009484882,0.49070773085959146,0.07067803634653524,0.022138808924967345,3.192494979566273,0.0014139890834150362,hhi_zecs1_ma3_dlag4_q4:3,shinscrit_sup10cgt_siren0912,21914,102758,14051,25998,0.9007347282703867,0.8862321094925174,0.010982725348128719,0.009835501491208043,panelpanSIZE2-acco_alt,NA
