distance,treatment_path,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_treated,n_ind,r2,ar2,wr2,war2_adj,sample,description
1,FALSE,0.3202365205613865,0.5925129817100869,0.06159285043970523,4055.625606874967,1.5187015866379529e-5,0.9999878828250894,age_cl_q4:1,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
2,FALSE,0.3523017964569222,0.5869339807594378,0.07336867312216913,5069.532518442333,1.4472473123559808e-5,0.9999884529330996,age_cl_q4:1,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
3,FALSE,0.3896377434924481,0.601026674411777,0.08051625750078074,6083.439272441228,1.3235318689796062e-5,0.9999894400142217,age_cl_q4:1,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
4,FALSE,0.44657283720488733,0.6104886086627108,0.09832145582765926,7097.345875811335,1.3853271004130064e-5,0.9999889469722479,age_cl_q4:1,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-5,TRUE,0.6188811118550679,0.6210284711395,-0.0057265660843182084,0.006386263120305201,-0.8967006176288794,0.3699008212263847,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-4,TRUE,0.6265682536962401,0.6274990539495271,-0.005111874308598666,0.004249136883737921,-1.2030382754113123,0.2289907087302036,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-3,TRUE,0.6359729893260644,0.6278134579845173,-0.002948145873003317,0.002538237462988435,-1.161493325975998,0.24546975752780933,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-2,TRUE,0.6457329557495232,0.6278134579845173,0,NA,NA,NA,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-1,TRUE,0.6457329557495232,0.6278134579845173,1.6760489452679445e-4,8.2752371412169e-5,2.025378749474092,0.04285566528379086,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
0,TRUE,0.6311017481338963,0.6279360070810449,-0.007875414584357412,0.003159957853972288,-2.492253045228899,0.012710024706430312,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
1,TRUE,0.3175024602587531,0.6408757515182613,-0.2732433346683261,0.025812031978540925,-10.585890134317575,4.79577172333013e-26,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
2,TRUE,0.37757936026529965,0.6429316702527234,-0.2302517291278375,0.028408708122444715,-8.104970072395645,5.909616709151419e-16,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
3,TRUE,0.38576581021934225,0.6514849688527186,-0.21155932886224707,0.032671842070798894,-6.475280102168846,9.919571335359322e-11,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
4,TRUE,0.4642340991370104,0.6448285607103672,-0.13199671902549606,0.04821693470870162,-2.737559320660732,0.0062009161373385345,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-5,FALSE,0.6188811118550679,0.6210284711395,-0.04324507751990282,2027.8130537571624,-2.1325968604343332e-5,0.9999829847750222,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-4,FALSE,0.6265682536962401,0.6274990539495271,-0.018240537203869964,1013.9064519208085,-1.799035519432186e-5,0.9999856461412493,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-2,FALSE,0.6457329557495232,0.6278134579845173,0.014102291722939376,1013.9062026219015,1.3908872128873149e-5,0.999988902610106,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-1,FALSE,0.6457329557495232,0.6278134579845173,0.02913218671001736,2027.8124989636951,1.4366311838449185e-5,0.9999885376353788,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
0,FALSE,0.6311017481338963,0.6279360070810449,0.04484041323562013,3041.718891405413,1.4741800553075372e-5,0.9999882380464094,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
1,FALSE,0.3175024602587531,0.6408757515182613,0.061804814399583866,4055.6253909796746,1.523928086086233e-5,0.999987841124726,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
2,FALSE,0.37757936026529965,0.6429316702527234,0.07427438969343532,5069.532032525668,1.4651133322937387e-5,0.9999883103865383,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
3,FALSE,0.38576581021934225,0.6514849688527186,0.09181876766922702,6083.438671394002,1.5093234703093838e-5,0.9999879576497138,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
4,FALSE,0.4642340991370104,0.6448285607103672,0.10307355647171136,7097.344898744795,1.4522833248520937e-5,0.9999884127525631,age_cl_q4:2,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-5,TRUE,0.6496833375757064,0.6298677019063572,3.9900835223208027e-4,0.004649633066308836,0.08581501949547118,0.9316152280302832,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-4,TRUE,0.6486023768275596,0.6267601799423399,-0.007037982722239781,0.0037349325637270727,-1.8843667461606346,0.05954509516576363,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-3,TRUE,0.6513654598507855,0.6339621810647341,-0.006107308151409447,0.0018255842179398395,-3.3453992926721874,8.247426189548303e-4,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-2,TRUE,0.6611716360748265,0.63364668356082,0,NA,NA,NA,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-1,TRUE,0.6627114000122939,0.63364668356082,9.073238848695846e-5,6.483751758908353e-5,1.3993809735589686,0.1617305693618549,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
0,TRUE,0.6326154712652646,0.6336335326244201,-0.01457829604445952,0.0034593742855704847,-4.21414245497157,2.5298704907533292e-5,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
1,TRUE,0.32932726916019206,0.6487074948459511,-0.2834347586093079,0.024947873364572427,-11.361078937165175,1.0041578596462176e-29,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
2,TRUE,0.3371538912454521,0.6444590894526915,-0.2676624527625147,0.027887560243039473,-9.597915716894642,1.0173493700135573e-21,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
3,TRUE,0.3599677286909095,0.6406888500037716,-0.243317051452705,0.03531905161292908,-6.889116223144425,5.960857137992276e-12,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
4,TRUE,0.3585848692695008,0.6529442216213568,-0.23151948444581252,0.04080280003952985,-5.674107762739711,1.433916157455791e-8,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-5,FALSE,0.6496833375757064,0.6298677019063572,-0.04066100047318733,2027.8127393894163,-2.005165451590493e-5,0.9999840015044992,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-4,FALSE,0.6486023768275596,0.6267601799423399,-0.01904518726031761,1013.9064798907427,-1.8783968381748477e-5,0.9999850129457692,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-2,FALSE,0.6611716360748265,0.63364668356082,0.014205185655049463,1013.906207937977,1.4010354748630189e-5,0.9999888216407657,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-1,FALSE,0.6627114000122939,0.63364668356082,0.029320550758276585,2027.8125090569436,1.4459202035356034e-5,0.9999884635216245,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
0,FALSE,0.6326154712652646,0.6336335326244201,0.0450193181715964,3041.718918031531,1.480061747478329e-5,0.9999881911184985,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
1,FALSE,0.32932726916019206,0.6487074948459511,0.06288132348568327,4055.6253877264458,1.5504716899144892e-5,0.9999876293428374,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
2,FALSE,0.3371538912454521,0.6444590894526915,0.07565511987363273,5069.531948264766,1.4923492078894677e-5,0.9999880930812617,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
3,FALSE,0.3599677286909095,0.6406888500037716,0.09287370002035178,6083.4384475360885,1.5266645799295865e-5,0.9999878192912237,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
4,FALSE,0.3585848692695008,0.6529442216213568,0.10902226504173046,7097.345039556958,1.536099265769049e-5,0.9999877440152515,age_cl_q4:3,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-5,TRUE,0.6719266005938774,0.6397191394162657,0.009319855756019185,0.004128473644741942,2.257457975513306,0.024001492692249445,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-4,TRUE,0.6713812602352511,0.650624860223008,-4.1028052603089274e-4,0.0030190207512818742,-0.13589854453855207,0.8919042905159773,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-3,TRUE,0.6742436534199489,0.6519235819844977,0.0010165268379941877,0.0014166745041816013,0.7175443865148298,0.47305544225931906,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-2,TRUE,0.6733745589475955,0.6516092329124432,0,NA,NA,NA,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-1,TRUE,0.6733745589475955,0.6516092329124432,6.592458796071221e-5,8.355583763380452e-5,0.7889884157422513,0.4301379537020211,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
0,TRUE,0.6492648242998628,0.6516147533013844,-0.012547371132692952,0.0032968561380792927,-3.805859463435033,1.4217692640524962e-4,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
1,TRUE,0.27727693367836087,0.6604925015645025,-0.32866864317559746,0.02958867795110619,-11.10791917498666,1.701064577436834e-28,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
2,TRUE,0.3401243108359569,0.6559401477411452,-0.28994756946299693,0.033427081336957876,-8.674031888701666,4.836950321793198e-18,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
3,TRUE,0.35214273060361545,0.6355784943597192,-0.27652581749451666,0.03654546239697646,-7.566625221231149,4.176925429218768e-14,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
4,TRUE,0.4238989615151959,0.6393271077476028,-0.19870673152177676,0.04998014777097412,-3.975713165801709,7.067494509791376e-5,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-5,FALSE,0.6719266005938774,0.6397191394162657,-0.038670261983601344,2027.8127778853382,-1.9069937030344494e-5,0.9999847847816478,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
-4,FALSE,0.6713812602352511,0.650624860223008,-0.015374473016881149,1013.9063657214455,-1.5163602416029252e-5,0.999987901505841,age_cl_q4:4,participation_siren0912,20922,55100,10782,19360,0.9065470659162599,0.8860527293128859,0.15687865450366878,0.1555353024295858,le5_panelsize10-acco_isin,NA
