distance,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-3,0.6383450571814128,0.6170004084149776,-0.002675619117294529,0.0016420961296043039,-1.6293924996579057,0.10324307887816238,an_cl:2010,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
-2,0.6370698784456083,0.6117742324267733,-0.0013702338243271226,0.001176102361540318,-1.1650634070086847,0.24400490677647552,an_cl:2010,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
0,0.6044978861460093,0.6095820224841417,-0.025314932121632494,0.005513486126625735,-4.591456573978048,4.423952405879395e-6,an_cl:2010,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
1,0.5079742296093424,0.617311445438715,-0.10536346396452234,0.01201849059141193,-8.76678008466488,1.958006980134126e-18,an_cl:2010,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
2,0.521798019638216,0.6226507060178083,-0.09595220956968292,0.012861047207043771,-7.460684034899706,8.89953167104576e-14,an_cl:2010,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
3,0.5347496379252153,0.6316298892043428,-0.08898340633412222,0.012890670318083526,-6.90293089020304,5.22092094655641e-12,an_cl:2010,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
4,0.5453064523476574,0.6377008980968922,-0.08848602837891893,0.012532930429712359,-7.060282419596081,1.7069070551128502e-12,an_cl:2010,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
5,0.5489047308453858,0.6384321174292422,-0.0868052807786408,0.013096668793253208,-6.62804276025968,3.473802997385606e-11,an_cl:2010,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
6,0.5611131074244918,0.6342342617593758,-0.08107855075049614,0.012726175136295348,-6.371006990093844,1.911976961782299e-10,an_cl:2010,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
-5,0.5966818962968053,0.5989552394288297,0.005336323864272074,0.009052840483409891,0.5894640333110195,0.5555555809766316,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
-4,0.5990425235228649,0.6051128178172641,0.002781302871121024,0.0067186667130135274,0.413966489174684,0.6789023479251254,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
-3,0.5971757430714719,0.61395269625233,4.437357567812237e-4,0.0011793113652010434,0.3762668366259471,0.7067218572364915,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
-2,0.6007764872167901,0.6136101003255214,2.190968752712441e-4,7.757646388829217e-4,0.28242699433521123,0.777618554011258,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
0,0.5898400202488109,0.6120677591397845,-0.016383537658491387,0.005667029106188852,-2.8910276180863876,0.003843287720473409,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
1,0.5304183601548798,0.6147489179344059,-0.07765206938992825,0.013425727484324034,-5.783825828477101,7.392674411929361e-9,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
2,0.5333777058421445,0.6165282289734331,-0.059961105301668975,0.014770194009446753,-4.059601740052901,4.931226626377325e-5,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
3,0.5541834102289097,0.620720993655554,-0.05058431474628774,0.01367834264819159,-3.6981318605127558,2.1767603845589706e-4,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
4,0.5581060961425841,0.6164015482010489,-0.04434658983223903,0.014416076703073065,-3.0761899194657936,0.0020990008243051096,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
5,0.5785477862626847,0.6201178488835241,-0.033372681338458735,0.014194950224043046,-2.351024893481693,0.018729824542512406,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
6,0.5785412389318568,0.616776788764386,-0.03362362713128275,0.014431273032002116,-2.3299141424821337,0.019818937329070755,an_cl:2011,participation_siren0912,21658,188222,16584,32460,0.8564311132518979,0.8336738346467334,0.030776343004094264,0.02970849558428068,panelpanSIZE2-election,NA
