quantile,wage_agreement_num_07,participation_siren0912,mean_xval,xname
4,0.026214689265536724,0.32920821185235855,2.177471371026748,fe0215_le
5,0.02309132515082172,0.3670215157266611,2.223916216291611,fe0215_le
6,0.031529778123783575,0.3986885915123706,2.2595367141866087,fe0215_le
7,0.029411764705882353,0.3883722785004731,2.289076367186593,fe0215_le
8,0.03741605372561561,0.3947066970426461,2.314602781613056,fe0215_le
9,0.03997648442092887,0.4096444286039918,2.3376939894186077,fe0215_le
10,0.05591539986781229,0.449972031202685,2.359329658319162,fe0215_le
11,0.08060720169451635,0.4540429167179486,2.3802132887740783,fe0215_le
12,0.10252263906856404,0.4740961134696318,2.400891131044665,fe0215_le
13,0.14518084461507375,0.5022195683867055,2.4221477386012813,fe0215_le
14,0.16920890573188063,0.5199705359907888,2.4447480106483335,fe0215_le
15,0.19989629245527613,0.5363849046864326,2.4694763703985885,fe0215_le
16,0.26847697756788663,0.5475549566428565,2.4977608461040948,fe0215_le
17,0.31227436823104693,0.5723699108161326,2.5321864891694235,fe0215_le
18,0.3339712918660287,0.5896773619342783,2.578140237553926,fe0215_le
19,0.29456706281833617,0.5758622976587517,2.6495494071801584,fe0215_le
20,0.17965867158671586,0.5487150311199535,2.8731650422316175,fe0215_le
1,0.019627749576988155,0.3804347813129425,1.7075115810087882,fe0215_god2
2,0.024327122153209108,0.5725331902503967,2.003828191620266,fe0215_god2
3,0.021389144434222632,0.3080607680387275,2.1136448518647764,fe0215_god2
4,0.0253077975376197,0.32102467733270984,2.1790312309352893,fe0215_god2
5,0.021196222455403986,0.38262441963147203,2.224882184179962,fe0215_god2
6,0.033010476378730974,0.36779421041308735,2.26010801150091,fe0215_god2
7,0.026669085631349784,0.3981333708965484,2.2891811931654633,fe0215_god2
8,0.03522378413313944,0.3908648476197288,2.314431088377591,fe0215_god2
9,0.03938280675973549,0.40365025620939077,2.3372458510615655,fe0215_god2
10,0.055678996209645795,0.4474363261441651,2.3586660323137556,fe0215_god2
