value,n_individuals,eqtp,variable,sample,treated
7,899,357.4065934065934,dip_tot,le5_panelsize20,1
8,702,333.33076923076925,dip_tot,le5_panelsize20,1
NA,14277,4789.900549450549,dip_tot,le5_panelsize20,1
2,136,120.00274725274726,cs1,le5_panelsize40,0
3,1367,1250.7697802197802,cs1,le5_panelsize40,0
4,2176,1993.676923076923,cs1,le5_panelsize40,0
5,2902,2309.4104395604395,cs1,le5_panelsize40,0
6,4759,4265.595054945055,cs1,le5_panelsize40,0
7,117,95.47252747252747,cs1,le5_panelsize40,0
1,109,90.37142857142857,sec_a10,le5_panelsize40,0
2,4155,3852.535714285714,sec_a10,le5_panelsize40,0
3,1091,917.639010989011,sec_a10,le5_panelsize40,0
4,3609,3097.2978021978024,sec_a10,le5_panelsize40,0
5,500,453.9664835164835,sec_a10,le5_panelsize40,0
6,298,270.1840659340659,sec_a10,le5_panelsize40,0
7,171,138.29395604395606,sec_a10,le5_panelsize40,0
8,1221,979.0181318681318,sec_a10,le5_panelsize40,0
9,109,85.40714285714286,sec_a10,le5_panelsize40,0
10,195,151.27527472527473,sec_a10,le5_panelsize40,0
1,637,534.8840659340659,dip_tot,le5_panelsize40,0
2,27,22.27252747252747,dip_tot,le5_panelsize40,0
3,208,175.81373626373627,dip_tot,le5_panelsize40,0
4,1511,1363.8313186813186,dip_tot,le5_panelsize40,0
5,576,494.8027472527473,dip_tot,le5_panelsize40,0
6,311,269.86813186813185,dip_tot,le5_panelsize40,0
7,722,640.2873626373627,dip_tot,le5_panelsize40,0
8,461,415.1697802197802,dip_tot,le5_panelsize40,0
NA,7005,6119.059340659341,dip_tot,le5_panelsize40,0
2,42,21.01868131868132,cs1,le5_panelsize40,1
3,1524,750.5346153846153,cs1,le5_panelsize40,1
4,2154,883.9565934065934,cs1,le5_panelsize40,1
5,2644,1010.910989010989,cs1,le5_panelsize40,1
6,5029,2104.3087912087913,cs1,le5_panelsize40,1
7,65,24.28901098901099,cs1,le5_panelsize40,1
1,94,46.597252747252746,sec_a10,le5_panelsize40,1
2,3623,1693.8417582417583,sec_a10,le5_panelsize40,1
3,1039,450.22857142857146,sec_a10,le5_panelsize40,1
4,3348,1485.3752747252747,sec_a10,le5_panelsize40,1
5,430,194.05274725274725,sec_a10,le5_panelsize40,1
6,257,125.30439560439561,sec_a10,le5_panelsize40,1
7,188,73.73406593406594,sec_a10,le5_panelsize40,1
8,1382,580.078021978022,sec_a10,le5_panelsize40,1
9,562,66.27142857142857,sec_a10,le5_panelsize40,1
10,204,79.46208791208791,sec_a10,le5_panelsize40,1
NA,331,0.07307692307692308,sec_a10,le5_panelsize40,1
1,698,303.97802197802196,dip_tot,le5_panelsize40,1
2,24,10.428571428571429,dip_tot,le5_panelsize40,1
3,222,102.03021978021978,dip_tot,le5_panelsize40,1
4,1336,577.8434065934066,dip_tot,le5_panelsize40,1
5,466,199.57747252747254,dip_tot,le5_panelsize40,1
6,287,116.55384615384615,dip_tot,le5_panelsize40,1
7,553,234.06758241758243,dip_tot,le5_panelsize40,1
8,432,228.0021978021978,dip_tot,le5_panelsize40,1
NA,7440,3022.5373626373625,dip_tot,le5_panelsize40,1
2,47,51.043406593406594,cs1,panelpanSIZE1,0
3,2574,2847.6626373626373,cs1,panelpanSIZE1,0
4,3511,3680.073626373626,cs1,panelpanSIZE1,0
5,3168,3152.6824175824177,cs1,panelpanSIZE1,0
6,8518,8820.255494505494,cs1,panelpanSIZE1,0
7,60,61.50714285714286,cs1,panelpanSIZE1,0
NA,72,32.995054945054946,cs1,panelpanSIZE1,0
1,255,267.8873626373626,sec_a10,panelpanSIZE1,0
2,7896,8336.852747252748,sec_a10,panelpanSIZE1,0
3,993,1041.423076923077,sec_a10,panelpanSIZE1,0
4,3674,3861.506043956044,sec_a10,panelpanSIZE1,0
5,1371,1462.529120879121,sec_a10,panelpanSIZE1,0
6,351,373.8626373626374,sec_a10,panelpanSIZE1,0
7,185,192.6175824175824,sec_a10,panelpanSIZE1,0
8,2816,2720.758791208791,sec_a10,panelpanSIZE1,0
9,238,234.87417582417584,sec_a10,panelpanSIZE1,0
10,171,153.90824175824176,sec_a10,panelpanSIZE1,0
2,57,41.02252747252747,cs1,panelpanSIZE1,1
3,2944,1872.7423076923078,cs1,panelpanSIZE1,1
4,3704,2074.3835164835164,cs1,panelpanSIZE1,1
5,3086,1432.4159340659342,cs1,panelpanSIZE1,1
6,8070,4061.8697802197803,cs1,panelpanSIZE1,1
7,88,50.83516483516483,cs1,panelpanSIZE1,1
1,303,248.82582417582418,sec_a10,panelpanSIZE1,1
2,5899,3769.7950549450547,sec_a10,panelpanSIZE1,1
3,753,511.26428571428573,sec_a10,panelpanSIZE1,1
4,3080,2037.7126373626375,sec_a10,panelpanSIZE1,1
5,1106,857.4785714285714,sec_a10,panelpanSIZE1,1
6,334,258.3065934065934,sec_a10,panelpanSIZE1,1
7,173,102.0945054945055,sec_a10,panelpanSIZE1,1
8,2505,1427.5543956043955,sec_a10,panelpanSIZE1,1
9,389,213.47967032967034,sec_a10,panelpanSIZE1,1
10,167,73.55329670329671,sec_a10,panelpanSIZE1,1
NA,3241,34.20439560439561,sec_a10,panelpanSIZE1,1
2,43,49.958241758241755,cs1,panelpanSIZE2,0
3,2659,2907.7516483516483,cs1,panelpanSIZE2,0
4,3422,3523.5752747252745,cs1,panelpanSIZE2,0
5,3279,3155.963186813187,cs1,panelpanSIZE2,0
6,8388,8530.80934065934,cs1,panelpanSIZE2,0
7,70,69.20384615384616,cs1,panelpanSIZE2,0
NA,88,33.035164835164835,cs1,panelpanSIZE2,0
1,255,258.0021978021978,sec_a10,panelpanSIZE2,0
2,7894,8248.602197802198,sec_a10,panelpanSIZE2,0
3,994,995.4868131868132,sec_a10,panelpanSIZE2,0
4,3673,3736.7115384615386,sec_a10,panelpanSIZE2,0
5,1384,1457.565934065934,sec_a10,panelpanSIZE2,0
6,351,360.1510989010989,sec_a10,panelpanSIZE2,0
7,196,208.90054945054945,sec_a10,panelpanSIZE2,0
8,2794,2632.6313186813186,sec_a10,panelpanSIZE2,0
9,238,211.160989010989,sec_a10,panelpanSIZE2,0
10,170,161.08406593406593,sec_a10,panelpanSIZE2,0
2,57,41.02252747252747,cs1,panelpanSIZE2,1
3,2949,1880.8604395604395,cs1,panelpanSIZE2,1
4,3704,2076.0159340659343,cs1,panelpanSIZE2,1
5,3082,1431.6307692307691,cs1,panelpanSIZE2,1
6,8068,4060.8763736263736,cs1,panelpanSIZE2,1
7,88,50.83516483516483,cs1,panelpanSIZE2,1
1,303,248.82582417582418,sec_a10,panelpanSIZE2,1
2,5896,3768.126923076923,sec_a10,panelpanSIZE2,1
3,753,510.42252747252746,sec_a10,panelpanSIZE2,1
4,3072,2033.4203296703297,sec_a10,panelpanSIZE2,1
5,1118,868.8302197802197,sec_a10,panelpanSIZE2,1
6,339,262.46483516483516,sec_a10,panelpanSIZE2,1
7,177,105.41758241758242,sec_a10,panelpanSIZE2,1
8,2494,1422.489010989011,sec_a10,panelpanSIZE2,1
9,388,213.410989010989,sec_a10,panelpanSIZE2,1
10,166,74.62857142857143,sec_a10,panelpanSIZE2,1
NA,3243,34.20439560439561,sec_a10,panelpanSIZE2,1
