variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.0252034094521175,0.001032752569786661,24.40411206851206,6.562894535405463e-44,fe0215_god2,~minmax_year,12,24457,24457,0.10594692527651484,0.1022392939668425,0.07686310937791652,0.07682520599501275,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
tfp_cd_ma3,0.005644994050904777,0.004978908986222725,1.1337813297100217,0.2726223819648418,fe0215_mlo_le,~siren+an,12,12551,113990,0.04967717162359098,0.049502063001908514,0.04867992860338921,0.04864653957940357,panelpanSIZE1-moving,fe0215_mlo_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
before1994,-0.002693799970853278,0.0029316824860487144,-0.9188580222014249,0.3710239582236302,fe0215_mlo_le,~siren+an,12,12551,113990,0.04967717162359098,0.049502063001908514,0.04867992860338921,0.04864653957940357,panelpanSIZE1-moving,fe0215_mlo_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
maxmfg,0.015790259742363894,0.00269752680363894,5.853606244454354,1.9161621017717863e-5,fe0215_mlo_le,~siren+an,12,12551,113990,0.04967717162359098,0.049502063001908514,0.04867992860338921,0.04864653957940357,panelpanSIZE1-moving,fe0215_mlo_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
ln_emp_ma3,0.015597324678569788,0.0010015028470626791,15.573919459455743,1.7038589573021957e-11,fe0215_mlo_le,~siren+an,12,12551,113990,0.05250801465523791,0.052333427651059194,0.05151374224499139,0.051480452680982,panelpanSIZE1-moving,fe0215_mlo_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
tfp_tl_ma3,0.03781063529221176,0.009627812533430886,3.927230111816259,0.001085640063537884,fe0215_mlo_le,~siren+an,12,12551,113990,0.05250801465523791,0.052333427651059194,0.05151374224499139,0.051480452680982,panelpanSIZE1-moving,fe0215_mlo_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
before1994,-0.0023655416224812502,0.002933071572801219,-0.8065066138914737,0.4310895906447081,fe0215_mlo_le,~siren+an,12,12551,113990,0.05250801465523791,0.052333427651059194,0.05151374224499139,0.051480452680982,panelpanSIZE1-moving,fe0215_mlo_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
maxmfg,0.0171329779993661,0.002604041862725902,6.579378866602151,4.682817060809268e-6,fe0215_mlo_le,~siren+an,12,12551,113990,0.05250801465523791,0.052333427651059194,0.05151374224499139,0.051480452680982,panelpanSIZE1-moving,fe0215_mlo_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
ln_emp_ma3,0.01674189109612216,0.0010349829626812085,16.176006465604917,9.293223620256733e-12,fe0215_mlo,~siren+an,12,12551,113990,0.050876112665266926,0.050726212866440745,0.04964243829083215,0.04963409969977206,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3 | an
ln_emp_ma3,-0.07712203806784435,0.003202582160367631,-24.081205166955453,1.411119884586073e-14,fe0215_mlo,~siren+an,12,12551,113990,0.22846124817617608,0.2283326245358791,0.22745839954944802,0.22744484262042375,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+ln_va_ma3 | an
ln_va_ma3,0.09112931960151593,0.003072575876814967,29.6589321973004,4.4213997132845934e-16,fe0215_mlo,~siren+an,12,12551,113990,0.22846124817617608,0.2283326245358791,0.22745839954944802,0.22744484262042375,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+ln_va_ma3 | an
ln_emp_ma3,0.014007281533669206,9.273190352853773e-4,15.105137499262637,2.7711813005194203e-11,fe0215_mlo,~siren+an,12,12551,113990,0.22846124817617575,0.22833262453587866,0.2274583995494477,0.2274448426204233,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+ln_apl_ma3 | an
ln_apl_ma3,0.09112931960152648,0.003072575876815554,29.658932197298167,4.4213997132901593e-16,fe0215_mlo,~siren+an,12,12551,113990,0.22846124817617575,0.22833262453587866,0.2274583995494477,0.2274448426204233,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+ln_apl_ma3 | an
ln_emp_ma3,0.013927910405239597,9.693978155780946e-4,14.367590045510646,6.120749526449375e-11,fe0215_mlo,~siren+an,12,12551,113990,0.19816430875903068,0.19803063429966794,0.19712208007003518,0.1971079907847858,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+prod_res_ma3 | an
prod_res_ma3,0.09272660284891325,0.003645814740104209,25.43371220400048,5.7076323714317285e-15,fe0215_mlo,~siren+an,12,12551,113990,0.19816430875903068,0.19803063429966794,0.19712208007003518,0.1971079907847858,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+prod_res_ma3 | an
ln_emp_ma3,0.016685712302514134,0.001033314663046522,16.1477552765192,9.557067320081566e-12,fe0215_mlo,~siren+an,12,12551,113990,0.051677088044378205,0.051518992621660264,0.05044445478039594,0.05042779152611465,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_cd_ma3 | an
tfp_cd_ma3,0.011006828298753973,0.004871640325179063,2.2593680083205654,0.03728379861615426,fe0215_mlo,~siren+an,12,12551,113990,0.051677088044378205,0.051518992621660264,0.05044445478039594,0.05042779152611465,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_cd_ma3 | an
ln_emp_ma3,0.017020882191820384,0.0010207153466518103,16.67544457683813,5.705288886748753e-12,fe0215_mlo,~siren+an,12,12551,113990,0.05345138591249321,0.05329358628392722,0.05222105888676043,0.052204426809176585,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_tl_ma3 | an
tfp_tl_ma3,0.03506446031308383,0.010122655975043042,3.463958510447623,0.002967003449500148,fe0215_mlo,~siren+an,12,12551,113990,0.05345138591249321,0.05329358628392722,0.05222105888676043,0.052204426809176585,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+tfp_tl_ma3 | an
before1994,0.00592351686731501,0.0030120040456884365,1.9666364246071608,0.06576885223075665,fe0215_mlo,~siren+an,12,12551,113990,0.001800968911888634,0.0016433184344900598,5.035065029537211e-4,4.947367589530627e-4,panelpanSIZE1-moving,fe0215_mlo~before1994 | an
maxmfg,0.02072634755964201,0.0025790284996451596,8.036494192481271,3.430422330922975e-7,fe0215_mlo,~siren+an,12,12551,113990,0.009559952896710633,0.009403527833774739,0.008272575640874691,0.008263874063944132,panelpanSIZE1-moving,fe0215_mlo~maxmfg | an
ln_emp_ma3,0.01355980897165064,9.620453925199221e-4,14.0947704516654,8.278576066424847e-11,fe0215_mlo,~siren+an,12,12551,113990,0.20737608039238842,0.20723002972630877,0.20634582519469247,0.2063179698607459,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
prod_res_ma3,0.09366245987632198,0.0036670415054713304,25.541696142946545,5.320250914971655e-15,fe0215_mlo,~siren+an,12,12551,113990,0.20737608039238842,0.20723002972630877,0.20634582519469247,0.2063179698607459,panelpanSIZE1-moving,fe0215_mlo~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
