variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.039847849700633146,0.0012983245086826973,30.6917488148348,1.2403142831516774e-53,fe0215_god2,~minmax_year,12,49152,49152,0.15936715401356882,0.15758466342326582,0.14670430110489752,0.14668690359436898,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
tfp_tl_ma3,0.08059931076883174,0.009866607173777346,8.168898320290072,9.801255264106366e-6,fe0215_le,~siren+an,12,24672,139221,0.18771365004293983,0.1876436293817747,0.18765721932646728,0.1876455484055335,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+tfp_tl_ma3 | an
before1994,0.056625438967575,0.0028298644243522925,20.009947642822357,2.1356547032744284e-9,fe0215_le,~siren+an,12,24672,139221,0.02645705514732266,0.026380127848129598,0.026389421700204196,0.0263824278235274,le5_panelsize0-moving,fe0215_le~before1994 | an
maxmfg,0.05535329927050931,0.0032877745907295792,16.836099234596873,1.1472505577813288e-8,fe0215_le,~siren+an,12,24672,139221,0.024187449391856464,0.024110342753228986,0.02411965827191853,0.024112648090524158,le5_panelsize0-moving,fe0215_le~maxmfg | an
ln_emp_ma3,0.026097250388327824,7.947501501946868e-4,32.83704996083975,1.618389548790653e-11,fe0215_le,~siren+an,12,24672,139221,0.2627477737180196,0.2626736279831523,0.26269655573146566,0.26267536976407146,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
prod_res_ma3,0.09834291399580151,0.003273642327641338,30.040824303080683,3.908815952900558e-11,fe0215_le,~siren+an,12,24672,139221,0.2627477737180196,0.2626736279831523,0.26269655573146566,0.26267536976407146,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
before1994,0.01103902589492306,0.0024956498099157317,4.423307248902764,0.001287467942189782,fe0215_le,~siren+an,12,24672,139221,0.2627477737180196,0.2626736279831523,0.26269655573146566,0.26267536976407146,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
maxmfg,0.018852069943236495,0.0026788685219736965,7.037325568089826,3.5523253430440904e-5,fe0215_le,~siren+an,12,24672,139221,0.2627477737180196,0.2626736279831523,0.26269655573146566,0.26267536976407146,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+prod_res_ma3+before1994+maxmfg | an
ln_emp_ma3,0.03137125928765877,8.802177958394103e-4,35.64033746641296,7.179144030550598e-12,fe0215_le,~siren+an,12,24672,139221,0.18592547475417387,0.1858436029716829,0.1858689198105581,0.1858455262476315,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
tfp_cd_ma3,0.014814383092659703,0.004940514560239543,2.998550639215487,0.013376743670580529,fe0215_le,~siren+an,12,24672,139221,0.18592547475417387,0.1858436029716829,0.1858689198105581,0.1858455262476315,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
before1994,0.008798225666462746,0.0025807276976217426,3.409203409786592,0.006667195460957704,fe0215_le,~siren+an,12,24672,139221,0.18592547475417387,0.1858436029716829,0.1858689198105581,0.1858455262476315,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
maxmfg,0.014481028569362071,0.0027546927062314435,5.256858065004585,3.6972418300246695e-4,fe0215_le,~siren+an,12,24672,139221,0.18592547475417387,0.1858436029716829,0.1858689198105581,0.1858455262476315,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+tfp_cd_ma3+before1994+maxmfg | an
ln_emp_ma3,0.031204591894098382,8.685000499967037e-4,35.929291995109054,6.6260280043157295e-12,fe0215_le,~siren+an,12,24672,139221,0.19085602711465444,0.19077465119967663,0.19079981470369645,0.1907765628270447,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
tfp_tl_ma3,0.08552361350469911,0.009647800615134752,8.864570995645995,4.741443336185385e-6,fe0215_le,~siren+an,12,24672,139221,0.19085602711465444,0.19077465119967663,0.19079981470369645,0.1907765628270447,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
before1994,0.008725283742202532,0.0025765451768711167,3.3864276165334966,0.006927319379842805,fe0215_le,~siren+an,12,24672,139221,0.19085602711465444,0.19077465119967663,0.19079981470369645,0.1907765628270447,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
maxmfg,0.018360241799523717,0.002643923684880221,6.944316095248983,3.974442505931629e-5,fe0215_le,~siren+an,12,24672,139221,0.19085602711465444,0.19077465119967663,0.19079981470369645,0.1907765628270447,le5_panelsize0-moving,fe0215_le~ln_emp_ma3+tfp_tl_ma3+before1994+maxmfg | an
wage_agreement_ind_07,0.03731406219389955,0.00177309512182171,21.04459131079353,1.8444389261501302e-35,fe0215_god2,~minmax_year,12,6799,6799,0.046018980229885376,0.033795743087419616,0.02501602153438931,0.024870761704463007,le5_panelsize0-acco,fe0215_god2~wage_agreement_ind_07 | minmax_year
wage_agreement_ind_07,0.03639194767024998,0.002116174999635521,17.19704073458856,2.056217439397231e-29,fe0215_god2,~minmax_year,12,6799,6799,0.04612378203055234,0.0337579303000588,0.025123130663865734,0.024832599634410757,le5_panelsize0-acco,fe0215_god2~wage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.0011588404618949073,0.0012146774272990095,0.9540314455927095,0.34277301960655904,fe0215_god2,~minmax_year,12,6799,6799,0.04612378203055234,0.0337579303000588,0.025123130663865734,0.024832599634410757,le5_panelsize0-acco,fe0215_god2~wage_agreement_ind_07+ln_emp_mean_0215 | minmax_year
wage_agreement_ind_07,0.02865661081208917,0.001447478096290572,19.7976127483566,1.3895753960450887e-33,fe0215_god2,~minmax_year,12,6799,6799,0.2736902117776363,0.2562955354216556,0.017991617360766377,0.017843702255684435,le5_panelsize0-acco,fe0215_god2~wage_agreement_ind_07 | minmax_year+naf2d_num_main
wage_agreement_fail_07,0.019231175580893035,0.0023737775559898437,8.101507039851427,3.5369544390333185e-12,fe0215_god2,~minmax_year,12,6799,6799,0.024990991987335898,0.012498325913276154,0.0035250786215110796,0.00337661692285518,le5_panelsize0-acco,fe0215_god2~wage_agreement_fail_07 | minmax_year
wage_agreement_fail_07,0.01550576463884389,0.0024970448794851686,6.209645956399794,1.8791772258782764e-8,fe0215_god2,~minmax_year,12,6799,6799,0.02789430728912623,0.015292132461850683,0.0064923136555600225,0.006196230303944894,le5_panelsize0-acco,fe0215_god2~wage_agreement_fail_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.005831823405403729,0.0013921577075378419,4.189053706938017,6.817553370404045e-5,fe0215_god2,~minmax_year,12,6799,6799,0.02789430728912623,0.015292132461850683,0.0064923136555600225,0.006196230303944894,le5_panelsize0-acco,fe0215_god2~wage_agreement_fail_07+ln_emp_mean_0215 | minmax_year
wage_agreement_fail_07,0.009615762689859331,0.002175191243104589,4.420651618721591,2.8905833664322808e-5,fe0215_god2,~minmax_year,12,6799,6799,0.26122262624305326,0.24352935881914084,0.001134797165354362,9.84343000143606e-4,le5_panelsize0-acco,fe0215_god2~wage_agreement_fail_07 | minmax_year+naf2d_num_main
wage_agreement_share_07,0.03823545631990769,0.0018454894068383487,20.71832879572678,5.618617084713973e-35,fe0215_god2,~minmax_year,12,6799,6799,0.04433964198329998,0.032094887694051444,0.023299710778814986,0.023154195241088305,le5_panelsize0-acco,fe0215_god2~wage_agreement_share_07 | minmax_year
wage_agreement_share_07,0.03678212790685757,0.0020948525841572472,17.55833712836405,5.154958018312916e-30,fe0215_god2,~minmax_year,12,6799,6799,0.044618795549868584,0.03223343348949581,0.023585010223243663,0.02329402080593579,le5_panelsize0-acco,fe0215_god2~wage_agreement_share_07+ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,0.0018707968878647098,0.0011766624673478442,1.5899180434312825,0.11556601407800197,fe0215_god2,~minmax_year,12,6799,6799,0.044618795549868584,0.03223343348949581,0.023585010223243663,0.02329402080593579,le5_panelsize0-acco,fe0215_god2~wage_agreement_share_07+ln_emp_mean_0215 | minmax_year
wage_agreement_share_07,0.03049221535284745,0.0014250928504461247,21.396651694169872,5.617657057632484e-36,fe0215_god2,~minmax_year,12,6799,6799,0.2737802366904525,0.2563877163762156,0.018113335697026556,0.017965438925780508,le5_panelsize0-acco,fe0215_god2~wage_agreement_share_07 | minmax_year+naf2d_num_main
extwage_agreement_ind_07,0.02821434846507043,0.001855011920505269,15.209793615442317,5.571493086635165e-26,fe0215_god2,~minmax_year,12,6799,6799,0.03382285292280707,0.02144334835656181,0.012551382849446013,0.012404265951777571,le5_panelsize0-acco,fe0215_god2~extwage_agreement_ind_07 | minmax_year
