variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.026325592750119996,8.020052364473595e-4,32.82471429579987,1.0828336021284711e-55,fe0215_god2,~minmax_year,12,28133,28133,0.1106088448345085,0.10737238754493017,0.08332388305075022,0.08329117965735211,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
prod_res_mean_0215,0.0805156661110873,0.012094531034387275,6.6571962056374465,1.473993193482851e-9,fe0215_mlo_le,~minmax_year,12,28133,28133,0.20428017106974927,0.20135608735717248,0.18376061235932162,0.18370236986849842,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.02405154485710464,7.132322933024476e-4,33.72189549317775,8.906360223155564e-57,fe0215_mlo_le,~minmax_year,12,28133,28133,0.09784030345128303,0.09452507819370992,0.07457593553374597,0.07450990220651588,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.014365579896071084,0.004198308899085903,3.421753911247192,8.994838688649386e-4,fe0215_mlo_le,~minmax_year,12,28133,28133,0.09784030345128303,0.09452507819370992,0.07457593553374597,0.07450990220651588,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.024373733201786634,6.461351606649082e-4,37.722344620132944,2.461161734094958e-61,fe0215_mlo_le,~minmax_year,12,28133,28133,0.09623999608757616,0.09291889007583909,0.07293436037739365,0.07286820991611265,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,-8.062244396452789e-4,0.0076879911176992895,-0.10486802433852835,0.9166885088993915,fe0215_mlo_le,~minmax_year,12,28133,28133,0.09623999608757616,0.09291889007583909,0.07293436037739365,0.07286820991611265,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.012680265281175176,0.0021086952137069318,6.013322930099603,2.9198128627070428e-8,fe0215_mlo_le,~minmax_year,12,28133,28133,0.02650204106400178,0.022959522626204043,0.0013980436561155107,0.001362417471443944,panelpanSIZE2-fixed,fe0215_mlo_le~before1994 | minmax_year
maxmfg,0.017559435796180717,0.003081479314859015,5.6983786039089805,1.2008514083927665e-7,fe0215_mlo_le,~minmax_year,12,28133,28133,0.028582538293428605,0.025047590698206723,0.003532191534293405,0.0034966414876125285,panelpanSIZE2-fixed,fe0215_mlo_le~maxmfg | minmax_year
ln_emp_mean_0215,0.02215755890566649,0.0012498255153946822,17.7285218078376,8.887805513101926e-33,fe0215_mlo_le,~minmax_year,12,28133,28133,0.20727707710343413,0.20430722992378103,0.1868348008573515,0.18671874631007312,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08215758253568546,0.012033511388400314,6.827398909920935,6.571813864153979e-10,fe0215_mlo_le,~minmax_year,12,28133,28133,0.20727707710343413,0.20430722992378103,0.1868348008573515,0.18671874631007312,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.003264362423474827,0.0016873473745722786,1.9346119670837203,0.05583572175781195,fe0215_mlo_le,~minmax_year,12,28133,28133,0.20727707710343413,0.20430722992378103,0.1868348008573515,0.18671874631007312,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.016259802655206452,0.001941924449122784,8.373035656743193,3.3472676012014733e-13,fe0215_mlo_le,~minmax_year,12,28133,28133,0.20727707710343413,0.20430722992378103,0.1868348008573515,0.18671874631007312,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.023953000638700924,5.713659995789003e-4,41.92234164503034,1.0872258976457442e-65,fe0215_mlo_le,~minmax_year,12,28133,28133,0.0980974728362255,0.0947185965614834,0.07483973665274979,0.0747076982236139,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.013985107552065912,0.004128767360715434,3.387235542775306,0.0010073510311647106,fe0215_mlo_le,~minmax_year,12,28133,28133,0.0980974728362255,0.0947185965614834,0.07483973665274979,0.0747076982236139,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.002541479796355258,0.0021119402107012504,-1.203386243359315,0.23163996022117186,fe0215_mlo_le,~minmax_year,12,28133,28133,0.0980974728362255,0.0947185965614834,0.07483973665274979,0.0747076982236139,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.004514598989675453,0.002202030743056148,2.0501979837982387,0.04293566204561202,fe0215_mlo_le,~minmax_year,12,28133,28133,0.0980974728362255,0.0947185965614834,0.07483973665274979,0.0747076982236139,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.02426825668663644,5.202500307716742e-4,46.64729505280361,3.802288740508529e-70,fe0215_mlo_le,~minmax_year,12,28133,28133,0.0965883552050989,0.09320382519106019,0.07329170277659969,0.07315944341281144,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,-7.922195418840767e-4,0.007564277169776469,-0.10473169135703253,0.9167964178855655,fe0215_mlo_le,~minmax_year,12,28133,28133,0.0965883552050989,0.09320382519106019,0.07329170277659969,0.07315944341281144,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.003245329123761518,0.0022711796964692637,-1.4289178125388537,0.1561133623729183,fe0215_mlo_le,~minmax_year,12,28133,28133,0.0965883552050989,0.09320382519106019,0.07329170277659969,0.07315944341281144,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.005124949989813865,0.0019156745315960717,2.6752717673518056,0.008712064055181644,fe0215_mlo_le,~minmax_year,12,28133,28133,0.0965883552050989,0.09320382519106019,0.07329170277659969,0.07315944341281144,panelpanSIZE2-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.02547508827273521,6.667628660819988e-4,38.20711915531642,7.36815337875772e-62,fe0215_mlo,~minmax_year,12,28133,28133,0.10352789029704734,0.10026566570947337,0.07889883280443233,0.07886597154267017,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.05363669448392647,0.009467183517094262,-5.665538688151367,1.388882993458891e-7,fe0215_mlo,~minmax_year,12,28133,28133,0.22111840250327974,0.21825619534133456,0.19971994577823682,0.19966284206035745,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07776417938972247,0.008213318250333074,9.468058708983898,1.3331239794377155e-15,fe0215_mlo,~minmax_year,12,28133,28133,0.22111840250327974,0.21825619534133456,0.19971994577823682,0.19966284206035745,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.0243160662511686,0.001587081444138177,15.32124664488961,4.262364883054195e-28,fe0215_mlo,~minmax_year,12,28133,28133,0.2252345471188224,0.22238746582278035,0.20394917451685124,0.2038923725741859,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08360231241667668,0.010646943613217677,7.8522358578933735,4.482956884656217e-12,fe0215_mlo,~minmax_year,12,28133,28133,0.2252345471188224,0.22238746582278035,0.20394917451685124,0.2038923725741859,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.024202378703513727,0.0013299187282215397,18.198389262386613,1.181195918253133e-33,fe0215_mlo,~minmax_year,12,28133,28133,0.2139010564388104,0.21101232722311236,0.19230431531736303,0.19224668245963128,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08183462760824432,0.012592261753748689,6.498802932196222,3.1057165416842516e-9,fe0215_mlo,~minmax_year,12,28133,28133,0.2139010564388104,0.21101232722311236,0.19230431531736303,0.19224668245963128,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.02515461828650007,7.234003474411236e-4,34.77274841722047,5.121428400951087e-58,fe0215_mlo,~minmax_year,12,28133,28133,0.1050673193731434,0.10177865170378075,0.0804805550950195,0.08041494308996011,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.01415907475244429,0.004389852837337353,3.225409888918376,0.001695406676566059,fe0215_mlo,~minmax_year,12,28133,28133,0.1050673193731434,0.10177865170378075,0.0804805550950195,0.08041494308996011,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.02546633567330689,6.509697759166814e-4,39.12061145610908,7.869214558067001e-63,fe0215_mlo,~minmax_year,12,28133,28133,0.10354632948271048,0.10025207253229196,0.07891777857558646,0.07885205505912674,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,-0.0023875347689217086,0.0077305782249360066,-0.30884297389558757,0.7580771359328781,fe0215_mlo,~minmax_year,12,28133,28133,0.10354632948271048,0.10025207253229196,0.07891777857558646,0.07885205505912674,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.012469440615998213,0.0021626785732385,5.7657391950417605,8.89979228113991e-8,fe0215_mlo,~minmax_year,12,28133,28133,0.028042047965466055,0.024505133548501257,0.0013391444150199217,0.0013035161290554376,panelpanSIZE2-fixed,fe0215_mlo~before1994 | minmax_year
maxmfg,0.019864883852904337,0.0038086529505761634,5.2157243284398564,9.77486170836375e-7,fe0215_mlo,~minmax_year,12,28133,28133,0.031096779106577155,0.027570980728727434,0.004477799136223037,0.004442282825097066,panelpanSIZE2-fixed,fe0215_mlo~maxmfg | minmax_year
ln_emp_mean_0215,0.023176835074201006,0.0012256169788871292,18.910341055527617,5.851963336873036e-35,fe0215_mlo,~minmax_year,12,28133,28133,0.21755750138327068,0.21462616865573103,0.1960612149126495,0.19594647715476077,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08362063236291063,0.012468517530244345,6.706541668652722,1.1670772345600518e-9,fe0215_mlo,~minmax_year,12,28133,28133,0.21755750138327068,0.21462616865573103,0.1960612149126495,0.19594647715476077,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.002286360565145725,0.0016657476850948634,1.3725731607518445,0.17292536066276504,fe0215_mlo,~minmax_year,12,28133,28133,0.21755750138327068,0.21462616865573103,0.1960612149126495,0.19594647715476077,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.018306483802628237,0.0024510662702642073,7.468783698228988,2.961023740793849e-11,fe0215_mlo,~minmax_year,12,28133,28133,0.21755750138327068,0.21462616865573103,0.1960612149126495,0.19594647715476077,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.0250182506334617,5.384805173998328e-4,46.460827875941774,5.5974409965026904e-70,fe0215_mlo,~minmax_year,12,28133,28133,0.10557816999854464,0.1022273193134855,0.08100544047876623,0.08087428201592373,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.013618392590490566,0.004313935747919147,3.156837140437124,0.0021028436481345227,fe0215_mlo,~minmax_year,12,28133,28133,0.10557816999854464,0.1022273193134855,0.08100544047876623,0.08087428201592373,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.003653767891128444,0.0021243621423189655,-1.7199364544973348,0.08850679088551477,fe0215_mlo,~minmax_year,12,28133,28133,0.10557816999854464,0.1022273193134855,0.08100544047876623,0.08087428201592373,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.006379067102327831,0.002821255191084976,2.2610741213646186,0.025899068320285924,fe0215_mlo,~minmax_year,12,28133,28133,0.10557816999854464,0.1022273193134855,0.08100544047876623,0.08087428201592373,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.025319736093518137,4.856533108828555e-4,52.135413320852486,7.836283868274277e-75,fe0215_mlo,~minmax_year,12,28133,28133,0.10417924273063883,0.10082315112207274,0.07956808004630755,0.07943671644407346,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,-0.002367980467879313,0.00756151947004548,-0.31316198778035687,0.7548033630134423,fe0215_mlo,~minmax_year,12,28133,28133,0.10417924273063883,0.10082315112207274,0.07956808004630755,0.07943671644407346,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.004343444124087966,0.002287540331944539,-1.8987399100394404,0.0604527919933117,fe0215_mlo,~minmax_year,12,28133,28133,0.10417924273063883,0.10082315112207274,0.07956808004630755,0.07943671644407346,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.006970199251671123,0.00248809147878434,2.801424027655407,0.00609868512941472,fe0215_mlo,~minmax_year,12,28133,28133,0.10417924273063883,0.10082315112207274,0.07956808004630755,0.07943671644407346,panelpanSIZE2-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.02470686423285942,7.306192697541956e-4,33.81633260394518,6.869367595034158e-57,fe0215_le,~minmax_year,12,28133,28133,0.09988027380515785,0.09660477569342496,0.0749212728064611,0.07488826964102435,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.053086396335093905,0.009268099133756926,-5.727862377058407,1.0534799251955164e-7,fe0215_le,~minmax_year,12,28133,28133,0.21464190952432272,0.21175590276992562,0.19286508051582918,0.19280748767131217,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07646811712896631,0.007983379378396884,9.578414541577457,7.618024179230672e-16,fe0215_le,~minmax_year,12,28133,28133,0.21464190952432272,0.21175590276992562,0.19286508051582918,0.19280748767131217,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.02356686961790845,0.0016459045939215575,14.318490698028654,4.6940859438624067e-26,fe0215_le,~minmax_year,12,28133,28133,0.21871938588777495,0.21584836290252551,0.19705561932382754,0.19699832549381746,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08222983185741227,0.010481420859414035,7.845294350866219,4.639689070362018e-12,fe0215_le,~minmax_year,12,28133,28133,0.21871938588777495,0.21584836290252551,0.19705561932382754,0.19699832549381746,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.023452739120613533,0.0013922074343551648,16.845721795384787,4.250352470353064e-31,fe0215_le,~minmax_year,12,28133,28133,0.20805092673660308,0.2051406996665639,0.18609133943363643,0.18603326325107084,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.0806396557523877,0.012277233972287919,6.56822668154789,2.2420432103408967e-9,fe0215_le,~minmax_year,12,28133,28133,0.20805092673660308,0.2051406996665639,0.18609133943363643,0.18603326325107084,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.024385294172302875,7.806494594156707e-4,31.23718831568228,1.037150503893402e-53,fe0215_le,~minmax_year,12,28133,28133,0.10144471418706391,0.09814273429342757,0.07652909282767295,0.07646319886733388,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.014207678475785367,0.004207179406732816,3.3770079909234663,0.001041574758626758,fe0215_le,~minmax_year,12,28133,28133,0.10144471418706391,0.09814273429342757,0.07652909282767295,0.07646319886733388,panelpanSIZE2-fixed,fe0215_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
