variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.03180573771762014,0.0012194012197714404,26.0830784830457,1.143694439594842e-46,fe0215_god2,~minmax_year,12,28742,28742,0.14321071497822202,0.14015919407762423,0.12084257780222696,0.12081187989300535,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
tfp_cd_mean_0215,0.011918249161132264,0.005144080274438587,2.3168863091727303,0.022529027347291675,fe0215_god2,~minmax_year,12,28742,28742,0.14517812777424277,0.14204374110767948,0.1228613537047577,0.12273883119514806,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.0032533056778240818,0.002209438747111237,-1.4724579633980186,0.14400666917492883,fe0215_god2,~minmax_year,12,28742,28742,0.14517812777424277,0.14204374110767948,0.1228613537047577,0.12273883119514806,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.009873362906821902,0.002613304404127605,3.7781143640317367,2.673588832748596e-4,fe0215_god2,~minmax_year,12,28742,28742,0.14517812777424277,0.14204374110767948,0.1228613537047577,0.12273883119514806,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.0314354652200408,9.894355409448255e-4,31.771109808752822,2.1899842531663063e-54,fe0215_god2,~minmax_year,12,28742,28742,0.1443463721856736,0.14120893570989124,0.12200788353195269,0.12188524180594795,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,6.153441054572175e-4,0.006298857399641024,0.0976913853443144,0.9223709627564767,fe0215_god2,~minmax_year,12,28742,28742,0.1443463721856736,0.14120893570989124,0.12200788353195269,0.12188524180594795,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.003660634684751862,0.002303997484340354,-1.5888188722566767,0.1152269039247979,fe0215_god2,~minmax_year,12,28742,28742,0.1443463721856736,0.14120893570989124,0.12200788353195269,0.12188524180594795,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.010644939936987539,0.002271291223642238,4.686734940100431,8.695225274948983e-6,fe0215_god2,~minmax_year,12,28742,28742,0.1443463721856736,0.14120893570989124,0.12200788353195269,0.12188524180594795,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.02994324226961836,0.0010209805627584055,29.327925880116705,3.23678956569001e-51,fe0215_mlo_le,~minmax_year,12,28742,28742,0.12735669888436119,0.12424871268673576,0.10880089085697886,0.10876977248311304,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04805972993015101,0.009011835723062004,-5.332956725693783,5.923627853517264e-7,fe0215_mlo_le,~minmax_year,12,28742,28742,0.22292503014833753,0.22013018686686814,0.2064013784512272,0.20634595568276926,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07493014494622183,0.007418996156411825,10.09976867038324,5.409655089063572e-17,fe0215_mlo_le,~minmax_year,12,28742,28742,0.22292503014833753,0.22013018686686814,0.2064013784512272,0.20634595568276926,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.026854780940787804,0.0018648915430419422,14.400183775289836,3.186109627354904e-26,fe0215_mlo_le,~minmax_year,12,28742,28742,0.22820581831040954,0.2254299680166031,0.21179445681393838,0.21173941068339952,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08174209508382699,0.010286286069845815,7.946706374757887,2.806587377383298e-12,fe0215_mlo_le,~minmax_year,12,28742,28742,0.22820581831040954,0.2254299680166031,0.21179445681393838,0.21173941068339952,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.02708080910972442,0.0017397412875077088,15.565997832079631,1.3781861149581367e-28,fe0215_mlo_le,~minmax_year,12,28742,28742,0.2196314035965502,0.2168247143923615,0.20303771652309466,0.2029820588456398,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08010893139695137,0.012591711550652942,6.362036731440003,5.87913671587925e-9,fe0215_mlo_le,~minmax_year,12,28742,28742,0.2196314035965502,0.2168247143923615,0.20303771652309466,0.2029820588456398,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.029646820580777625,0.001104256373083392,26.847769506636787,8.893194504815617e-48,fe0215_mlo_le,~minmax_year,12,28742,28742,0.12854244242633506,0.1254081408539457,0.11001184794211116,0.10994969359110496,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.014022647682524456,0.005110783737391299,2.7437372432592984,0.007189099160530218,fe0215_mlo_le,~minmax_year,12,28742,28742,0.12854244242633506,0.1254081408539457,0.11001184794211116,0.10994969359110496,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.029955642735447083,0.00100606267174601,29.7751259207932,8.21235700627583e-52,fe0215_mlo_le,~minmax_year,12,28742,28742,0.1274082603786708,0.12426987958458613,0.10885354875022812,0.10879131350675797,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.004706347803876206,0.007077242463009058,0.6649973953096966,0.5075677888030656,fe0215_mlo_le,~minmax_year,12,28742,28742,0.1274082603786708,0.12426987958458613,0.10885354875022812,0.10879131350675797,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.018532904270808365,0.0024683467049422293,7.508225742235072,2.4409880313297408e-11,fe0215_mlo_le,~minmax_year,12,28742,28742,0.023774654021991304,0.020297752409164094,0.0030162867850297426,0.002981474685682217,le5_panelsize10-fixed,fe0215_mlo_le~before1994 | minmax_year
maxmfg,0.02478379830233644,0.002771897461989371,8.941094915015105,1.9198016196677974e-14,fe0215_mlo_le,~minmax_year,12,28742,28742,0.026940545751978906,0.023474919705912423,0.006249497749694521,0.006214798545733036,le5_panelsize10-fixed,fe0215_mlo_le~maxmfg | minmax_year
ln_emp_mean_0215,0.026063009938613876,0.0016235690484152445,16.052911309225692,1.4907957331213688e-29,fe0215_mlo_le,~minmax_year,12,28742,28742,0.22232082813680398,0.2194693016301118,0.20578432874290697,0.20567338927213497,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08158653229308802,0.01250708140063396,6.523227096687205,2.7697245914346515e-9,fe0215_mlo_le,~minmax_year,12,28742,28742,0.22232082813680398,0.2194693016301118,0.20578432874290697,0.20567338927213497,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.0020773819095701402,0.002070398611007405,1.0033729246752814,0.31807880633930086,fe0215_mlo_le,~minmax_year,12,28742,28742,0.22232082813680398,0.2194693016301118,0.20578432874290697,0.20567338927213497,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.01656375351337895,0.0017381246445226295,9.529669558265848,9.754413141960836e-16,fe0215_mlo_le,~minmax_year,12,28742,28742,0.22232082813680398,0.2194693016301118,0.20578432874290697,0.20567338927213497,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.02946843924844986,9.461071329268807e-4,31.14704267928536,1.3514572404984428e-53,fe0215_mlo_le,~minmax_year,12,28742,28742,0.12887602845037605,0.12568186666057612,0.11035252730911915,0.11022825751268239,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.013366613609268857,0.005047097544471001,2.648376317575183,0.009386446248069563,fe0215_mlo_le,~minmax_year,12,28742,28742,0.12887602845037605,0.12568186666057612,0.11035252730911915,0.11022825751268239,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.002100541167325925,0.0022902445432532326,-0.9171689431654145,0.3612390189721387,fe0215_mlo_le,~minmax_year,12,28742,28742,0.12887602845037605,0.12568186666057612,0.11035252730911915,0.11022825751268239,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.005701734416272142,0.0016399629361773358,3.476745901076627,7.497980656128465e-4,fe0215_mlo_le,~minmax_year,12,28742,28742,0.12887602845037605,0.12568186666057612,0.11035252730911915,0.11022825751268239,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.02973956902251728,8.600748990042215e-4,34.577882759919156,8.649221758522291e-58,fe0215_mlo_le,~minmax_year,12,28742,28742,0.1278601291610233,0.12466224235986068,0.10931502602939513,0.10919061131030439,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,0.0047727362030599236,0.006856369237091164,0.696102563619338,0.4879633939064453,fe0215_mlo_le,~minmax_year,12,28742,28742,0.1278601291610233,0.12466224235986068,0.10931502602939513,0.10919061131030439,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.0025394145927408076,0.002378359654365286,-1.067716814015037,0.288193693160381,fe0215_mlo_le,~minmax_year,12,28742,28742,0.1278601291610233,0.12466224235986068,0.10931502602939513,0.10919061131030439,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.006582259921246822,0.0014168852220733873,4.645584426108083,1.0250545360817427e-5,fe0215_mlo_le,~minmax_year,12,28742,28742,0.1278601291610233,0.12466224235986068,0.10931502602939513,0.10919061131030439,le5_panelsize10-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.031101497610215172,0.001077188020525486,28.872858793066495,1.3294455137976929e-50,fe0215_mlo,~minmax_year,12,28742,28742,0.13820384860419666,0.13513449536412647,0.11673408664483531,0.11670324527770115,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04814987422258704,0.009048658422655636,-5.321216911230895,6.229896244314554e-7,fe0215_mlo,~minmax_year,12,28742,28742,0.23596282028327298,0.233214868976938,0.21692850880479664,0.21687382122247978,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07612936547354218,0.0073724887346489874,10.326141987271113,1.716585639505162e-17,fe0215_mlo,~minmax_year,12,28742,28742,0.23596282028327298,0.233214868976938,0.21692850880479664,0.21687382122247978,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.027974521780427475,0.0019468502791772163,14.369118200630277,3.6916208519976476e-26,fe0215_mlo,~minmax_year,12,28742,28742,0.24064823621485265,0.23791713656858293,0.2217306516033607,0.22167629938963096,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08276145575056278,0.010348698783419395,7.997281347405969,2.1831969381180135e-12,fe0215_mlo,~minmax_year,12,28742,28742,0.24064823621485265,0.23791713656858293,0.2217306516033607,0.22167629938963096,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.028210231377635262,0.0018187997143620464,15.510356173290994,1.7803282702395086e-28,fe0215_mlo,~minmax_year,12,28742,28742,0.2314947889601675,0.2287307678435706,0.21234916627569578,0.2122941588845565,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08091586260293614,0.012737087691184083,6.3527758122401625,6.137612083844756e-9,fe0215_mlo,~minmax_year,12,28742,28742,0.2314947889601675,0.2287307678435706,0.21234916627569578,0.2122941588845565,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.03081077823042942,0.001161446611868893,26.527933282143334,2.570893536309041e-47,fe0215_mlo,~minmax_year,12,28742,28742,0.1393340871838462,0.13623859905548308,0.11789248264108865,0.11783087865216779,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.013752891879001222,0.005001393043310884,2.74981225428684,0.007066425369809915,fe0215_mlo,~minmax_year,12,28742,28742,0.1393340871838462,0.13623859905548308,0.11789248264108865,0.11783087865216779,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.031107384175460842,0.0010630486009238398,29.262428969312452,3.9623883449810946e-51,fe0215_mlo,~minmax_year,12,28742,28742,0.13821536256553313,0.13511585080997235,0.11674588745127867,0.11668420338726937,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.002234127636735725,0.006542815168492365,0.3414627464175373,0.7334646334771341,fe0215_mlo,~minmax_year,12,28742,28742,0.13821536256553313,0.13511585080997235,0.11674588745127867,0.11668420338726937,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.01872402593288344,0.0025341724584232892,7.388615510616491,4.381000721451753e-11,fe0215_mlo,~minmax_year,12,28742,28742,0.027294674478759995,0.02383030968937605,0.0030618535712636508,0.0030270430629906198,le5_panelsize10-fixed,fe0215_mlo~before1994 | minmax_year
maxmfg,0.02787795626471912,0.0035560999106538805,7.839474976841424,4.7752754390679075e-12,fe0215_mlo,~minmax_year,12,28742,28742,0.03197988242352179,0.028532204362388347,0.007863783201474184,0.007829140364196352,le5_panelsize10-fixed,fe0215_mlo~maxmfg | minmax_year
ln_emp_mean_0215,0.027085868681705514,0.001652696814156105,16.388891446817496,3.269364994976848e-30,fe0215_mlo,~minmax_year,12,28742,28742,0.23501696526949567,0.23221199185677388,0.21595908988677004,0.21584957167052288,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08258714538816755,0.012583940196095812,6.562900339735432,2.298904139380444e-9,fe0215_mlo,~minmax_year,12,28742,28742,0.23501696526949567,0.23221199185677388,0.21595908988677004,0.21584957167052288,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.0013338680957882948,0.002072045159168701,0.6437447030949071,0.5212001015833438,fe0215_mlo,~minmax_year,12,28742,28742,0.23501696526949567,0.23221199185677388,0.21595908988677004,0.21584957167052288,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.019189217895047378,0.002269603929104346,8.454875165210003,2.2207574967592187e-13,fe0215_mlo,~minmax_year,12,28742,28742,0.23501696526949567,0.23221199185677388,0.21595908988677004,0.21584957167052288,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.03054711692765252,9.541650346786211e-4,32.014500445346236,1.0855177697879401e-54,fe0215_mlo,~minmax_year,12,28742,28742,0.14002004948127267,0.13686674962080092,0.11859553418545021,0.1184724158077698,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.012809514117682936,0.004967645327198487,2.578588702287022,0.011362139535833789,fe0215_mlo,~minmax_year,12,28742,28742,0.14002004948127267,0.13686674962080092,0.11859553418545021,0.1184724158077698,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.002920101302058464,0.0022884765951551003,-1.2760022576768175,0.20488133533109448,fe0215_mlo,~minmax_year,12,28742,28742,0.14002004948127267,0.13686674962080092,0.11859553418545021,0.1184724158077698,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.008240522857925179,0.0022918031726018536,3.59565034050015,5.025414060386605e-4,fe0215_mlo,~minmax_year,12,28742,28742,0.14002004948127267,0.13686674962080092,0.11859553418545021,0.1184724158077698,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.030801954888920655,8.686830993455947e-4,35.45821820652975,8.266653939073858e-59,fe0215_mlo,~minmax_year,12,28742,28742,0.13905976289468847,0.13590294193868702,0.11761132416361586,0.11748806830723424,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,0.002328176037932315,0.0062372812801602985,0.37326776416799345,0.7097314521112194,fe0215_mlo,~minmax_year,12,28742,28742,0.13905976289468847,0.13590294193868702,0.11761132416361586,0.11748806830723424,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.0033505599817669983,0.0023774778800855958,-1.409291758225052,0.16182048136436247,fe0215_mlo,~minmax_year,12,28742,28742,0.13905976289468847,0.13590294193868702,0.11761132416361586,0.11748806830723424,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.009075998240574219,0.0019852310816327397,4.571759088674819,1.3742029564219667e-5,fe0215_mlo,~minmax_year,12,28742,28742,0.13905976289468847,0.13590294193868702,0.11761132416361586,0.11748806830723424,le5_panelsize10-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.030190480753904535,0.0010845431461808327,27.83704904707469,3.540007401374794e-49,fe0215_le,~minmax_year,12,28742,28742,0.1295055162046499,0.12640518318509175,0.11045559772470082,0.11042453712893019,le5_panelsize10-fixed,fe0215_le~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04820437708085945,0.009109050440708054,-5.291921193611536,7.063291351505997e-7,fe0215_le,~minmax_year,12,28742,28742,0.22584761442607304,0.2230632825693053,0.20890604832683468,0.208850800477706,le5_panelsize10-fixed,fe0215_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07530659274820153,0.007444154864654369,10.116204474166056,4.976960394923813e-17,fe0215_le,~minmax_year,12,28742,28742,0.22584761442607304,0.2230632825693053,0.20890604832683468,0.208850800477706,le5_panelsize10-fixed,fe0215_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.0270883682048702,0.0019378522128898762,13.978552143805597,2.3736361759126536e-25,fe0215_le,~minmax_year,12,28742,28742,0.2310490147618529,0.22828339036491418,0.21422127621031595,0.2141663995622407,le5_panelsize10-fixed,fe0215_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08210340099673918,0.010364950132629532,7.921253835874461,3.1843791028110874e-12,fe0215_le,~minmax_year,12,28742,28742,0.2310490147618529,0.22828339036491418,0.21422127621031595,0.2141663995622407,le5_panelsize10-fixed,fe0215_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.027319301401506988,0.0018119810205979006,15.077035074292565,1.3246346398748965e-27,fe0215_le,~minmax_year,12,28742,28742,0.22216328671423713,0.21936570373119246,0.20514109271456915,0.20508558193118454,le5_panelsize10-fixed,fe0215_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08035370501999105,0.012684496455149812,6.334796600251958,6.671850830332076e-9,fe0215_le,~minmax_year,12,28742,28742,0.22216328671423713,0.21936570373119246,0.20514109271456915,0.20508558193118454,le5_panelsize10-fixed,fe0215_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.029902142950619017,0.0011703242377278742,25.550306476325336,7.007415783090331e-46,fe0215_le,~minmax_year,12,28742,28742,0.1306252717727251,0.1274984613457606,0.11159985804574846,0.11153781459704715,le5_panelsize10-fixed,fe0215_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.013640228030676351,0.005164623153156305,2.6410887350687475,0.009577140550188276,fe0215_le,~minmax_year,12,28742,28742,0.1306252717727251,0.1274984613457606,0.11159985804574846,0.11153781459704715,le5_panelsize10-fixed,fe0215_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
