an,annai,tenure,n_individuals,n_eqtp
2019,1952,3,449,133.38626373626374
2010,1946,9,451,322.46923076923076
2019,1950,2,451,118.84285714285714
2012,1946,2,454,110.27087912087912
2018,1950,2,454,110.24505494505495
2013,1950,6,455,253.36318681318681
2018,1992,9,456,371.1296703296703
2006,1946,7,458,328.5598901098901
2013,1948,3,458,168.6521978021978
2015,1946,1,458,52.848351648351645
2015,1952,5,459,244.93351648351648
2012,1948,4,471,208.35054945054944
2016,1946,1,471,61.25538558121566
2019,1956,6,472,268.80384615384617
2014,1946,10,477,292.10934065934066
2014,1952,6,478,299.3554945054945
2011,1948,6,479,275.0164835164835
2018,1954,7,482,265.3423076923077
2019,1948,1,482,51.08681318681319
2016,1946,10,483,254.14671832074177
2013,1950,7,485,279.13791208791207
2015,1946,10,490,268.0285714285714
2005,1946,9,492,382.360989010989
2005,1946,8,493,375.20274725274726
2008,1948,8,499,382.1412087912088
2016,1952,5,500,262.4605286315247
2010,1946,3,501,201.9032967032967
2010,1946,4,503,220.41923076923078
2014,1952,7,503,333.5824175824176
2015,1950,4,503,194.9065934065934
2016,1954,8,507,334.87261064131184
2019,1948,10,510,241.88131868131867
2013,1946,10,512,322.4324175824176
2014,1946,1,513,66.91758241758242
2007,1980,9,515,469.3543956043956
2010,1948,6,515,327.8967032967033
2016,1990,10,515,497.2236607142857
2009,1982,9,518,465.0208791208791
2012,1950,8,522,349.3401098901099
2004,1946,9,524,410.5631868131868
2011,1950,8,525,379.55384615384617
2015,1950,3,526,174.72527472527472
2006,1946,6,528,358.54505494505497
2001,1976,7,530,415.07142857142856
2006,1978,9,532,477.4714285714286
2008,1946,4,536,318.0313186813187
2014,1948,2,538,133.9186813186813
2003,1974,10,540,488.43296703296704
2013,1950,4,540,229.2153846153846
2017,1952,3,541,209.339010989011
2007,1948,8,550,426.1412087912088
2010,1984,9,550,489.256043956044
2011,1948,4,550,261.4532967032967
2014,1952,8,550,347.0423076923077
2016,1954,7,550,307.3427519745879
2017,1954,5,550,289.0521978021978
2017,1992,8,552,462.95384615384614
2012,1948,3,558,206.14835164835165
2014,1950,4,558,224.12472527472528
2002,1976,7,561,461.31868131868134
2016,1990,9,561,504.0110727163462
2009,1946,4,562,287.6098901098901
2019,1956,5,564,310.1879120879121
2019,1994,8,565,472.078021978022
2016,1952,4,567,251.27340208619506
2018,1954,4,568,251.38571428571427
2014,1952,5,570,321.73296703296705
2018,1948,1,570,58.04120879120879
2016,1950,2,578,155.01820054945054
2005,1976,9,581,521.8137362637362
2014,1952,9,581,413.10604395604395
2016,1954,9,583,390.56553914835166
2005,1946,7,584,436.68956043956047
2006,1948,9,589,482.58626373626373
2009,1950,9,589,492.0675824175824
2012,1950,5,591,339.489010989011
2013,1986,10,591,552.0384615384615
2018,1948,10,591,300.2708791208791
2007,1948,9,592,470.41153846153844
2006,1980,8,595,519.584065934066
