quantile,type_akm,n_ind,sample
4,hhi_zecs1_ma3_dlga4_q4_full,1494,le5_panelsize10
5,fe0215_god2_q5_full,12899,le5_panelsize10
5,fe0215_le_q5_full,12379,le5_panelsize10
5,fe0215_mlo_le_q5_full,12281,le5_panelsize10
5,fe0215_mlo_q5_full,12695,le5_panelsize10
1,fe0215_god2_q5_full,4304,le5_panelsize20
1,fe0215_le_q5_full,4365,le5_panelsize20
1,fe0215_mlo_le_q5_full,4392,le5_panelsize20
1,fe0215_mlo_q5_full,4307,le5_panelsize20
1,hhi_zecs1_ma3_dlga4_q4_full,44962,le5_panelsize20
2,fe0215_god2_q5_full,8522,le5_panelsize20
2,fe0215_le_q5_full,8500,le5_panelsize20
2,fe0215_mlo_le_q5_full,8506,le5_panelsize20
2,fe0215_mlo_q5_full,8512,le5_panelsize20
2,hhi_zecs1_ma3_dlga4_q4_full,11944,le5_panelsize20
3,fe0215_god2_q5_full,14472,le5_panelsize20
3,fe0215_le_q5_full,14558,le5_panelsize20
3,fe0215_mlo_le_q5_full,14533,le5_panelsize20
3,fe0215_mlo_q5_full,14513,le5_panelsize20
3,hhi_zecs1_ma3_dlga4_q4_full,5796,le5_panelsize20
4,fe0215_god2_q5_full,19924,le5_panelsize20
4,fe0215_le_q5_full,20155,le5_panelsize20
4,fe0215_mlo_le_q5_full,20225,le5_panelsize20
4,fe0215_mlo_q5_full,20074,le5_panelsize20
4,hhi_zecs1_ma3_dlga4_q4_full,2087,le5_panelsize20
5,fe0215_god2_q5_full,17369,le5_panelsize20
5,fe0215_le_q5_full,16775,le5_panelsize20
5,fe0215_mlo_le_q5_full,16691,le5_panelsize20
5,fe0215_mlo_q5_full,17167,le5_panelsize20
1,fe0215_god2_q5_full,2241,le5_panelsize40
1,fe0215_le_q5_full,2264,le5_panelsize40
1,fe0215_mlo_le_q5_full,2285,le5_panelsize40
1,fe0215_mlo_q5_full,2246,le5_panelsize40
1,hhi_zecs1_ma3_dlga4_q4_full,26753,le5_panelsize40
2,fe0215_god2_q5_full,4718,le5_panelsize40
2,fe0215_le_q5_full,4720,le5_panelsize40
2,fe0215_mlo_le_q5_full,4713,le5_panelsize40
2,fe0215_mlo_q5_full,4704,le5_panelsize40
2,hhi_zecs1_ma3_dlga4_q4_full,7002,le5_panelsize40
3,fe0215_god2_q5_full,8247,le5_panelsize40
3,fe0215_le_q5_full,8337,le5_panelsize40
3,fe0215_mlo_le_q5_full,8341,le5_panelsize40
3,fe0215_mlo_q5_full,8292,le5_panelsize40
3,hhi_zecs1_ma3_dlga4_q4_full,3392,le5_panelsize40
4,fe0215_god2_q5_full,11916,le5_panelsize40
4,fe0215_le_q5_full,12166,le5_panelsize40
4,fe0215_mlo_le_q5_full,12224,le5_panelsize40
4,fe0215_mlo_q5_full,12055,le5_panelsize40
4,hhi_zecs1_ma3_dlga4_q4_full,1329,le5_panelsize40
5,fe0215_god2_q5_full,11254,le5_panelsize40
5,fe0215_le_q5_full,10754,le5_panelsize40
5,fe0215_mlo_le_q5_full,10673,le5_panelsize40
5,fe0215_mlo_q5_full,11067,le5_panelsize40
1,fe0215_god2_q5_full,875,panelpanSIZE1
1,fe0215_le_q5_full,874,panelpanSIZE1
1,fe0215_mlo_le_q5_full,868,panelpanSIZE1
1,fe0215_mlo_q5_full,866,panelpanSIZE1
1,hhi_zecs1_ma3_dlga4_q4_full,26443,panelpanSIZE1
2,fe0215_god2_q5_full,3323,panelpanSIZE1
2,fe0215_le_q5_full,3284,panelpanSIZE1
2,fe0215_mlo_le_q5_full,3292,panelpanSIZE1
2,fe0215_mlo_q5_full,3307,panelpanSIZE1
2,hhi_zecs1_ma3_dlga4_q4_full,7662,panelpanSIZE1
3,fe0215_god2_q5_full,8021,panelpanSIZE1
3,fe0215_le_q5_full,8141,panelpanSIZE1
3,fe0215_mlo_le_q5_full,8167,panelpanSIZE1
3,fe0215_mlo_q5_full,8092,panelpanSIZE1
3,hhi_zecs1_ma3_dlga4_q4_full,3986,panelpanSIZE1
4,fe0215_god2_q5_full,13123,panelpanSIZE1
4,fe0215_le_q5_full,13483,panelpanSIZE1
4,fe0215_mlo_le_q5_full,13606,panelpanSIZE1
4,fe0215_mlo_q5_full,13349,panelpanSIZE1
4,hhi_zecs1_ma3_dlga4_q4_full,1546,panelpanSIZE1
5,fe0215_god2_q5_full,13552,panelpanSIZE1
5,fe0215_le_q5_full,13069,panelpanSIZE1
5,fe0215_mlo_le_q5_full,12898,panelpanSIZE1
5,fe0215_mlo_q5_full,13247,panelpanSIZE1
1,fe0215_god2_q5_full,1075,panelpanSIZE2
1,fe0215_le_q5_full,1074,panelpanSIZE2
1,fe0215_mlo_le_q5_full,1066,panelpanSIZE2
1,fe0215_mlo_q5_full,1063,panelpanSIZE2
1,hhi_zecs1_ma3_dlga4_q4_full,31162,panelpanSIZE2
2,fe0215_god2_q5_full,4040,panelpanSIZE2
2,fe0215_le_q5_full,4002,panelpanSIZE2
2,fe0215_mlo_le_q5_full,4014,panelpanSIZE2
2,fe0215_mlo_q5_full,4020,panelpanSIZE2
2,hhi_zecs1_ma3_dlga4_q4_full,9035,panelpanSIZE2
3,fe0215_god2_q5_full,9497,panelpanSIZE2
3,fe0215_le_q5_full,9645,panelpanSIZE2
3,fe0215_mlo_le_q5_full,9675,panelpanSIZE2
3,fe0215_mlo_q5_full,9578,panelpanSIZE2
3,hhi_zecs1_ma3_dlga4_q4_full,4696,panelpanSIZE2
4,fe0215_god2_q5_full,15447,panelpanSIZE2
4,fe0215_le_q5_full,15846,panelpanSIZE2
4,fe0215_mlo_le_q5_full,15971,panelpanSIZE2
4,fe0215_mlo_q5_full,15691,panelpanSIZE2
4,hhi_zecs1_ma3_dlga4_q4_full,1853,panelpanSIZE2
5,fe0215_god2_q5_full,15753,panelpanSIZE2
5,fe0215_le_q5_full,15198,panelpanSIZE2
5,fe0215_mlo_le_q5_full,15016,panelpanSIZE2
5,fe0215_mlo_q5_full,15425,panelpanSIZE2
1,fe0215_god2_q5_full,2422,panelpanSIZE3
1,fe0215_le_q5_full,2424,panelpanSIZE3
1,fe0215_mlo_le_q5_full,2421,panelpanSIZE3
1,fe0215_mlo_q5_full,2413,panelpanSIZE3
1,hhi_zecs1_ma3_dlga4_q4_full,47882,panelpanSIZE3
2,fe0215_god2_q5_full,7750,panelpanSIZE3
2,fe0215_le_q5_full,7791,panelpanSIZE3
2,fe0215_mlo_le_q5_full,7830,panelpanSIZE3
2,fe0215_mlo_q5_full,7761,panelpanSIZE3
2,hhi_zecs1_ma3_dlga4_q4_full,13063,panelpanSIZE3
3,fe0215_god2_q5_full,16052,panelpanSIZE3
3,fe0215_le_q5_full,16141,panelpanSIZE3
3,fe0215_mlo_le_q5_full,16131,panelpanSIZE3
3,fe0215_mlo_q5_full,16086,panelpanSIZE3
3,hhi_zecs1_ma3_dlga4_q4_full,6473,panelpanSIZE3
4,fe0215_god2_q5_full,22603,panelpanSIZE3
4,fe0215_le_q5_full,22941,panelpanSIZE3
4,fe0215_mlo_le_q5_full,23059,panelpanSIZE3
4,fe0215_mlo_q5_full,22797,panelpanSIZE3
4,hhi_zecs1_ma3_dlga4_q4_full,2421,panelpanSIZE3
5,fe0215_god2_q5_full,19473,panelpanSIZE3
5,fe0215_le_q5_full,18931,panelpanSIZE3
5,fe0215_mlo_le_q5_full,18766,panelpanSIZE3
5,fe0215_mlo_q5_full,19207,panelpanSIZE3
